lat,lon,note,address,images,bank_id
52.5999819,39.5170628,In quis justo. Maecenas rhoncus aliquam lacus.,708 Hooker Circle,http://dummyimage.com/237x242.png/ff4444/ffffff,20
2.093257,117.457497,,9 Jenna Circle,,14
31.2303904,121.4737021,,234 Pine View Trail,,15
16.733514,-93.0859557,,3 Stuart Crossing,,6
27.786996,120.091498,Nulla nisl. Nunc nisl.,9 Old Gate Crossing,http://dummyimage.com/163x210.jpg/ff4444/ffffff,12
5.0549877,-75.6789905,,68773 Steensland Circle,,15
54.2109904,-8.5070436,,39 Badeau Avenue,,19
-1.2920659,36.8219462,,6017 Saint Paul Circle,,2
13.5085076,123.1804731,,90806 Truax Point,,10
31.69948,35.18047,,88 Weeping Birch Junction,,3
18.2746509,-74.1643652,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est. Phasellus sit amet erat.",20 Cody Lane,http://dummyimage.com/108x130.bmp/5fa2dd/ffffff,15
47.0168309,-68.1430168,,90 West Terrace,,9
40.3829273,-8.7241528,,7 Division Hill,,11
43.4945737,5.8978018,In hac habitasse platea dictumst.,4 Forest Dale Plaza,http://dummyimage.com/127x171.jpg/dddddd/000000,12
-27.5571934,-53.9759139,,019 Lukken Parkway,,4
43.4945737,5.8978018,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat.,7 Stang Street,http://dummyimage.com/113x161.bmp/ff4444/ffffff,7
61.0678389,22.5515075,Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor. Duis mattis egestas metus. Aenean fermentum.,446 Oakridge Junction,http://dummyimage.com/214x154.png/ff4444/ffffff,1
39.8595809,-8.7836111,"Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",1 Fremont Plaza,http://dummyimage.com/237x163.jpg/ff4444/ffffff,18
53.49417,-8.83565,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti. In eleifend quam a odio.",4919 Barnett Point,http://dummyimage.com/141x244.jpg/cc0000/ffffff,11
4.2100095,8.9901033,,21 Pearson Road,,3
36.3081761,115.7834972,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",1 Hazelcrest Hill,http://dummyimage.com/236x111.png/cc0000/ffffff,9
50.0843138,12.4747444,,2 Harbort Trail,,19
-7.0987285,110.8880753,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat. Praesent blandit. Nam nulla.,3736 Forest Dale Trail,http://dummyimage.com/220x144.jpg/cc0000/ffffff,11
11.1051054,122.642712,,48992 Bonner Pass,,17
42.1241764,-80.08181,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.,7 Towne Street,http://dummyimage.com/189x217.png/ff4444/ffffff,9
30.830898,120.92585,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",3088 Hooker Crossing,http://dummyimage.com/162x163.jpg/5fa2dd/ffffff,18
32.40792,35.70802,,2 Trailsway Street,,16
49.5216159,22.937308,,3 Springs Hill,,7
41.0233069,80.2697382,"Nulla tellus. In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",03116 Bellgrove Center,http://dummyimage.com/141x222.png/dddddd/000000,11
42.0107787,128.0660957,"Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",883 Shopko Plaza,http://dummyimage.com/136x182.jpg/ff4444/ffffff,6
51.43341,-114.03528,,2 Starling Crossing,,3
50.3411289,16.0079822,,948 7th Lane,,8
36.1722416,37.5454589,"Duis at velit eu est congue elementum. In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo. Aliquam quis turpis eget elit sodales scelerisque.",87377 Westport Parkway,http://dummyimage.com/135x130.bmp/cc0000/ffffff,5
17.5946213,120.6194139,Vivamus tortor. Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa tempor convallis.,2 Oak Valley Terrace,http://dummyimage.com/170x174.png/ff4444/ffffff,18
32.820372,107.369453,"Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",969 Hansons Avenue,http://dummyimage.com/206x127.bmp/ff4444/ffffff,12
9.8563254,-66.3735841,,018 Surrey Court,,18
34.0683214,72.6206912,Aliquam non mauris.,11 Hansons Hill,http://dummyimage.com/171x140.png/dddddd/000000,17
44.3983211,17.940625,"In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum.",04047 Corry Junction,http://dummyimage.com/183x187.png/dddddd/000000,13
10.3036144,-65.9958004,,4810 Sherman Circle,,11
-9.2263237,33.6422932,,60 8th Circle,,14
-24.1089373,-49.3356859,Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.,1 Warbler Drive,http://dummyimage.com/250x193.jpg/ff4444/ffffff,9
13.86667,45.25,,37496 Hansons Hill,,12
4.1581668,11.5361726,Integer a nibh. In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,41 Fremont Plaza,http://dummyimage.com/242x194.jpg/5fa2dd/ffffff,19
22.354385,110.947043,,49371 Doe Crossing Place,,20
43.6953508,7.2559678,Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat.,90647 Lunder Trail,http://dummyimage.com/233x210.bmp/dddddd/000000,14
14.5699334,121.0204582,,360 Mifflin Pass,,3
42.4395419,-83.3155257,,68 Moulton Place,,10
48.1510123,-80.0330343,Pellentesque ultrices mattis odio.,693 Elmside Parkway,http://dummyimage.com/235x126.bmp/cc0000/ffffff,11
