lat,lon,note,address,images
40.199887,116.728714,,87507 Utah Point,
48.120484,-1.695391,,93849 Esch Plaza,
6.4876142,-6.5836774,Aliquam erat volutpat. In congue. Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius.,931 Summit Road,http://dummyimage.com/171x249.bmp/cc0000/ffffff
53.48661,106.0622305,,673 Gulseth Way,
29.046809,110.482084,,4 Forest Road,
54.71681,-115.40226,,09257 Kinsman Circle,
49.8905368,2.3081396,"Nulla tellus. In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem.",618 David Parkway,http://dummyimage.com/149x198.bmp/5fa2dd/ffffff
59.9287227,10.883269,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,3821 Hauk Trail,http://dummyimage.com/215x118.bmp/dddddd/000000
-13.1612425,-74.2152331,"Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus. Pellentesque eget nunc.",3 Burning Wood Way,http://dummyimage.com/182x230.png/5fa2dd/ffffff
50.1249419,14.6929755,,07 Saint Paul Road,
34.7487164,134.0793911,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis.",00399 Arrowood Crossing,http://dummyimage.com/129x215.jpg/5fa2dd/ffffff
28.2410098,33.6229813,,2007 Hermina Plaza,
22.765392,112.964446,"Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",413 Harbort Drive,http://dummyimage.com/116x173.png/ff4444/ffffff
27.032207,90.1869644,"Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat. Nulla nisl. Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",24 Shoshone Junction,http://dummyimage.com/154x225.bmp/ff4444/ffffff
-6.1382732,-77.0967357,,005 Troy Way,
46.4846074,-1.7557702,Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum.,7 Pine View Junction,http://dummyimage.com/214x125.bmp/cc0000/ffffff
37.8163881,66.0285106,,206 Linden Parkway,
-8.4595561,115.0465991,,066 Oakridge Plaza,
