lat,lon,note,address,images,iscallable,phone,owner,name
35.8054733,-78.6169494,,99 Village Green Road,,,9197518526,,
-6.5864219,106.7441048,,99996 Buell Alley,,,6343594109,,
7.0727574,100.4059456,,644 Summerview Junction,,,3072709007,,
54.3208627,18.0919377,"Nulla tellus. In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti.",85 Hazelcrest Drive,http://dummyimage.com/186x172.jpg/5fa2dd/ffffff,TRUE,6831009897,glitt6,Eire
48.5428567,22.9948916,,69296 Tony Court,,,8787206396,,
50.3382214,83.5062548,,62 Heath Way,,,8176804971,,
-10.7397921,-37.809338,Integer a nibh. In quis justo.,23 Katie Center,http://dummyimage.com/150x187.bmp/ff4444/ffffff,TRUE,3533957296,mcourvertc,Fivebridge
24.9936281,121.3009798,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus. Phasellus in felis. Donec semper sapien a libero. Nam dui.",0 Buena Vista Trail,http://dummyimage.com/242x219.bmp/dddddd/000000,FALSE,6914538016,fdomele,Babbleset
-24.6079128,28.6054979,Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,6 Grim Parkway,http://dummyimage.com/142x161.bmp/cc0000/ffffff,FALSE,5994439139,lalsteadf,Edgeclub
50.2072224,23.5464675,,6975 Hanson Avenue,,,5328663188,,
47.5155739,40.8140313,,03424 Burrows Drive,,,8803358723,,
36.6484118,9.6146499,,810 Fisk Road,,,6134661578,,
-7.6977621,110.8910556,,4704 Reindahl Plaza,,,6129002239,,
37.7616723,-25.1607541,,924 Tomscot Way,,,6662388003,,
59.2883751,18.0250491,,6707 Sloan Crossing,,,4052071433,,
26.085391,119.583599,Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla.,172 Wayridge Point,http://dummyimage.com/136x232.png/ff4444/ffffff,FALSE,2849083290,eleideckery,Skiba
50.7852989,16.164006,,6867 Hanson Place,,,4537182144,,
-22.4206096,-41.8625084,Sed ante. Vivamus tortor. Duis mattis egestas metus. Aenean fermentum.,21329 7th Circle,http://dummyimage.com/196x123.jpg/5fa2dd/ffffff,TRUE,8383399663,lvondracek15,Eayo
60.3516509,5.3427677,,058 Calypso Street,,,7845981512,,
-24.4748345,-49.8956943,Nulla tellus. In sagittis dui vel nisl. Duis ac nibh.,06684 Cottonwood Trail,http://dummyimage.com/234x247.png/5fa2dd/ffffff,FALSE,6509236563,rdeanesy18,Nlounge
50.4273892,124.1226608,,259 Fordem Point,,,3259213347,,
8.1296031,-81.026991,Nullam porttitor lacus at turpis.,67 Red Cloud Parkway,http://dummyimage.com/110x141.png/5fa2dd/ffffff,FALSE,1341070201,dleisman1i,Skidoo
